Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2007-06-14,0,0.0020385818474154,0,0,0,0.00195401612358825
2007-06-15,0,0.00203652612545491,0,0,0,0.00350763594451298
2007-06-18,0,0.00207792806574096,0,0,0,0.000777806624642885
2007-06-19,0,0.00205855829712938,0,0,0,0.00310519074711024
2007-06-20,0,0.00208559610222374,0,0,0,-0.00297561510714939
2007-06-21,0,0.00210767984673188,0,0,0,-0.00129651256330732
2007-06-22,0,0.00209323615022034,0,0,0,0.00233251369196985
2007-06-25,0,0.00209800108738832,0,0,0,0.000905621382808697
2007-06-26,0,0.00207939065090632,0,0,0,-0.00116452106063036
2007-06-27,0,0.002072638028962,0,0,0,0.00194011572205444
2007-06-28,0,0.00207021038761751,0,0,0,-0.000775594661424073
2007-06-29,0,0.00205274069649008,0,0,0,0.00193785991785145
2007-07-02,0,0.00205073275262014,0,0,0,0.0027067104235341
2007-07-03,0,0.00206584457423432,0,0,0,-0.00115912177315636
2007-07-05,0,0.00205200436356816,0,0,0,-0.00413223728491019
2007-07-06,0,0.00211295765113114,0,0,0,-0.00181323712418102
2007-07-09,0,0.00210738541089473,0,0,0,0.00181323712418102
2007-07-10,0,0.00210193401478259,0,0,0,0.00426109496178473
2007-07-11,0,0.00216523511055047,0,0,0,-0.00219284189772573
2007-07-12,0,0.00216546078476064,0,0,0,-0.00103359182328333
2007-07-13,0,0.00214862642013547,0,0,0,0.00116271571783866
2007-07-16,0,0.00213337996987992,0,0,0,0.0020637180031704
2007-07-17,0,0.00213185241322474,0,0,0,-0.0018055202222369
2007-07-18,0,0.00212574322380084,0,0,0,0.0025783177877452
2007-07-19,0,0.00213542734896789,0,0,0,0
2007-07-20,0,0.00211412876811082,0,0,0,0.00231481584845117
2007-07-23,0,0.00211816799906853,0,0,0,-0.000642467095660848
2007-07-24,0,0.0020990535549607,0,0,0,0.00205444345501338
2007-07-25,0,0.00209816135990627,0,0,0,-0.000641560296593013
2007-07-26,0,0.00207934924455851,0,0,0,0.00358744779365594
2007-07-27,0,0.00211945501644716,0,0,0,-0.00102367251421676
2007-07-30,0,0.00210329315379548,0,0,0,-0.000512229490006177
2007-07-31,0,0.00208369770061765,0,0,0,0.00319713809005506
2007-08-01,0,0.00211131711987954,0,0,0,-0.00242889221360176
2007-08-02,0,0.00214665712601366,0,0,0,-0.0005120983340694
2007-08-03,0,0.00212451065114617,0,0,0,0.00447199365356177
2007-08-06,0,0.0022031645146866,0,0,0,-0.00165869256529927
2007-08-07,0,0.00219257220121512,0,0,0,-0.000766479342583004
2007-08-08,0,0.00217132023507305,0,0,0,-0.00115082168573544
2007-08-09,0,0.00215418055463302,0,0,0,0.00115082168573544
2007-08-10,0,0.00213736280314304,0,0,0,-0.00332821607785672
2007-08-13,0,0.00217065914433144,0,0,0,0.00179349266624662
2007-08-14,0,0.00216313723754519,0,0,0,0.00281186279337664
2007-08-15,0,0.00217949444764749,0,0,0,0.00127551037701235
2007-08-16,0,0.00216373420230238,0,0,0,-0.000637551822679328
2007-08-17,0,0.00214204696054464,0,0,0,0.00229328677395113
2007-08-20,0,0.00214564493905755,0,0,0,-0.000891208920149822
2007-08-21,0,0.00212625811433569,0,0,0,0.00457492219973599
2007-08-22,0,0.00220942747155686,0,0,0,-0.00076103504434144
2007-08-23,0,0.00218784850235781,0,0,0,0.00114133548627038
2007-08-24,0,0.00217028998590277,0,0,0,-0.00241101569747038
2007-08-27,0,0.00217588962826338,0,0,0,0.00291785808034284
2007-08-28,0,0.00219485111402485,0,0,0,0.00404551752758753
2007-08-29,0,0.00225169169398899,0,0,0,-0.00202071298868045
2007-08-30,0,0.00224655659473551,0,0,0,0.00214687207545605
2007-08-31,0,0.00224411462853822,0,0,0,0.000630556802530435
2007-09-04,0,0.00222105640482595,0,0,0,-0.00113528867444401
2007-09-05,0,0.00220281403302947,0,0,0,0.00315040270646527
2007-09-06,0,0.00222779362515369,0,0,0,-0.000125825731528195
2007-09-07,0,0.00219951134010712,0,0,0,0.00614691768011166
2007-09-10,0,0.002356840648341,0,0,0,0.00237336942336253
2007-09-11,0,0.00235635284738152,0,0,0,-0.00174825219352925
2007-09-12,0,0.00234393748516565,0,0,0,-0.00137577408980416
2007-09-13,0,0.00232634450035784,0,0,0,-0.00288274937995414
